Alcea rosea;alcea rosea
Basil;ocimum basilicum
Beet;beta vulgaris
Blackberry;blackberry
Broccoli;broccoli atlantis f1
Bunching onion;bunching onion estafette f1
Cabbage;red cabbage pretino f1
Carrot;carrot aurantina f1
Cyclamen;cyclamen hederifolium
Cucumber;cucumber bon odori f1
Eggplant;solanum melongena
Gerbera;gerbera jamesonii
Lavandula;lavandula dentata
Lemon;citrus limon
Narcissus tazetta;narcissus tazetta
Onion;onion reks f1
Parsley;petroselinum crispum
Peach;prunus persica
Pineapple;ananas comosus
Poinsettia;euphorbia pulcherrima
Rosemary;rosmarinus officinalis
Salvia;salvia officinalis
Spinach;spinacia oleracea
Tomato;tomato master no. 2 f1
Yucca;yucca gloriosa
